# Taille Bulles Insertion Selection Rapide Fusion Shell TimSort
1000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
2000 0.010000 0.003000 0.006000 0.000000 0.000000 0.000000 0.000000
4000 0.036000 0.008000 0.033000 0.000000 0.000000 0.000000 0.000000
8000 0.203000 0.149000 0.089000 0.000000 0.000000 0.003000 0.001000
16000 0.818000 0.200000 0.301000 0.000000 0.000000 0.016000 0.003000
32000 3.013000 0.752000 1.239000 0.016000 0.000000 0.017000 0.008000
64000 12.562000 2.745000 4.725000 0.008000 0.034000 0.018000 0.018000
128000 NaN NaN NaN 0.022000 0.050000 0.043000 0.022000
256000 NaN NaN NaN 0.035000 0.092000 0.096000 0.052000
512000 NaN NaN NaN 0.074000 0.197000 0.209000 0.106000
1000000 NaN NaN NaN 0.161000 0.391000 0.378000 0.202000
